key,input,LogP
JIVPVXMEBJLZRO-UHFFFAOYSA-N,N[S](=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,2.0224152
WKZUQOQLOHMCQC-XHJBQRPKSA-N,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)ccc(Cl)c4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O,-0.2468596
LUKZNWIVRBCLON-GXOBDPJESA-N,CC(C)C(=O)OCC(=O)[C@@]12O[C@@H](O[C@@H]1C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]23C)C6CCCCC6,3.0589752
PMATZTZNYRCHOR-IMVLJIQESA-N,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,2.6649883
DHSUYTOATWAVLW-OYHMZJHOSA-N,CC1(C)C[C@@H]1C(=O)NC(=C\CCCCSC[C@@H](N)C(O)=O)/C(O)=O,0.37894198
MYSWGUAQZAJSOK-UHFFFAOYSA-N,OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O,-0.111903876
WSEQXVZVJXJVFP-UHFFFAOYSA-N,CN(C)CCCC1(OCc2cc(ccc12)C#N)c3ccc(F)cc3,4.629752
AGOYDEPGAOXOCK-KCBOHYOISA-N,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC,2.425114
HZZVJAQRINQKSD-PBFISZAISA-N,OC/C=C/1O[C@@H]2CC(=O)N2[C@H]1C(O)=O,-1.108469
KDLRVYVGXIQJDK-NOWPCOIGSA-N,CCC[C@@H]1C[C@H](N(C)C1)C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O,1.2812865
