key,input,probability
NFLWUMRGJYTJIN-UHFFFAOYSA-N,NC(=O)CCC1NC(=O)C(Cc2ccccc2)NC(=O)C(Cc3ccc(O)cc3)NC(=O)CCSSCC(NC(=O)C(CC(N)=O)NC1=O)C(=O)N4CCCC4C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O,0.16101056603014594
UREBDLICKHMUKA-CXSFZGCWSA-N,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.5886152760957024
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,0.07998831747605127
GDLBFKVLRPITMI-UHFFFAOYSA-N,CC1=N[S](=O)(=O)c2cc(Cl)ccc2N1,0.09364495475791063
RCKMWOKWVGPNJF-UHFFFAOYSA-N,CCN(CC)C(=O)N1CCN(C)CC1,0.066777189768308
LTMHDMANZUZIPE-PUGKRICDSA-N,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]3[C@@H](O)C[C@@H](O[C@@H]3C)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4,0.2960844493350404
BJDCWCLMFKKGEE-KXTPALSWSA-N,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)O[C@@H]3OC4(C)CC[C@@H]1[C@@]23OO4,0.22923029777301934
GZZZSOOGQLOEOB-UHFFFAOYSA-N,CN(C(=O)C(Cl)Cl)c1ccc(O)cc1,0.07501997378264956
WQABCVAJNWAXTE-UHFFFAOYSA-N,OCC(S)CS,0.0995814041427111
ZDZOTLJHXYCWBA-VCVYQWHSSA-N,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C,0.32442021650372604
APSBXTVYXVQYAB-UHFFFAOYSA-M,[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)[S]([O-])(=O)=O,0.48475987847931185
UKTAZPQNNNJVKR-UHFFFAOYSA-N,O=C1CN2C3CC(CC2CC1C3)OC(=O)c4c[nH]c5ccccc45,0.09651266802151169
RHWKPHLQXYSBKR-BMIGLBTASA-N,[H][C@]12CN3C=C(C(=O)NCC4=CC=C(F)C=C4F)C(=O)C(O)=C3C(=O)N1[C@H](C)CCO2,0.35965537295623123
VYFYYTLLBUKUHU-UHFFFAOYSA-N,NCCc1ccc(O)c(O)c1,0.11451520697546204
ADAURKPGCFUREH-UQVCFKGQSA-N,O.C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=O)C(=C(N)/O)/C(=O)[C@@]3(O)C(=O)C2=C(O)c4c(O)cccc14,0.3328061963634748
